iso3,name,year,disease_short,disease_description,cases
AFG,Afghanistan,2020,japenc,Japanese encephalitis,
AFG,Afghanistan,2020,measles,Measles,640
AFG,Afghanistan,2020,mumps,Mumps,
AFG,Afghanistan,2020,ntetanus,Neonatal tetanus,70
AFG,Afghanistan,2020,pertussis,Pertussis,
AFG,Afghanistan,2020,poliomyelitis,Poliomyelitis,308
AFG,Afghanistan,2020,rubella,Rubella,23
AFG,Afghanistan,2020,ttetanus,Total tetanus,70
AFG,Afghanistan,2020,typhoid,Typhoid,
AFG,Afghanistan,2020,yfever,Yellow fever,
AFG,Afghanistan,2019,crs,Congenital rubella syndrome,
AFG,Afghanistan,2019,diphtheria,Diphtheria,
AFG,Afghanistan,2019,japenc,Japanese encephalitis,
AFG,Afghanistan,2019,measles,Measles,353
AFG,Afghanistan,2019,mumps,Mumps,
AFG,Afghanistan,2019,ntetanus,Neonatal tetanus,20
AFG,Afghanistan,2019,pertussis,Pertussis,
AFG,Afghanistan,2019,poliomyelitis,Poliomyelitis,0
AFG,Afghanistan,2019,rubella,Rubella,59
AFG,Afghanistan,2019,ttetanus,Total tetanus,
AFG,Afghanistan,2019,typhoid,Typhoid,
AFG,Afghanistan,2019,yfever,Yellow fever,
AFG,Afghanistan,2018,crs,Congenital rubella syndrome,
AFG,Afghanistan,2018,diphtheria,Diphtheria,3
AFG,Afghanistan,2018,japenc,Japanese encephalitis,
AFG,Afghanistan,2018,measles,Measles,2012
AFG,Afghanistan,2018,mumps,Mumps,
AFG,Afghanistan,2018,ntetanus,Neonatal tetanus,53
AFG,Afghanistan,2018,pertussis,Pertussis,488
AFG,Afghanistan,2018,poliomyelitis,Poliomyelitis,21
AFG,Afghanistan,2018,rubella,Rubella,37
AFG,Afghanistan,2018,ttetanus,Total tetanus,53
AFG,Afghanistan,2018,typhoid,Typhoid,
AFG,Afghanistan,2018,yfever,Yellow fever,
AFG,Afghanistan,2017,crs,Congenital rubella syndrome,
AFG,Afghanistan,2017,diphtheria,Diphtheria,1
AFG,Afghanistan,2017,japenc,Japanese encephalitis,
AFG,Afghanistan,2017,measles,Measles,1511
AFG,Afghanistan,2017,mumps,Mumps,
AFG,Afghanistan,2017,ntetanus,Neonatal tetanus,
AFG,Afghanistan,2017,pertussis,Pertussis,1
AFG,Afghanistan,2017,poliomyelitis,Poliomyelitis,14
AFG,Afghanistan,2017,rubella,Rubella,53
AFG,Afghanistan,2017,ttetanus,Total tetanus,
AFG,Afghanistan,2017,yfever,Yellow fever,
AFG,Afghanistan,2016,crs,Congenital rubella syndrome,
AFG,Afghanistan,2016,diphtheria,Diphtheria,
AFG,Afghanistan,2016,japenc,Japanese encephalitis,
AFG,Afghanistan,2016,measles,Measles,638
AFG,Afghanistan,2016,mumps,Mumps,29
AFG,Afghanistan,2016,ntetanus,Neonatal tetanus,4
AFG,Afghanistan,2016,pertussis,Pertussis,0
AFG,Afghanistan,2016,poliomyelitis,Poliomyelitis,13
AFG,Afghanistan,2016,rubella,Rubella,42
AFG,Afghanistan,2016,ttetanus,Total tetanus,37
AFG,Afghanistan,2016,yfever,Yellow fever,
AFG,Afghanistan,2015,crs,Congenital rubella syndrome,0
AFG,Afghanistan,2015,diphtheria,Diphtheria,0
AFG,Afghanistan,2015,japenc,Japanese encephalitis,0
AFG,Afghanistan,2015,measles,Measles,1154
AFG,Afghanistan,2015,mumps,Mumps,
AFG,Afghanistan,2015,ntetanus,Neonatal tetanus,12
AFG,Afghanistan,2015,pertussis,Pertussis,432
AFG,Afghanistan,2015,poliomyelitis,Poliomyelitis,20
AFG,Afghanistan,2015,rubella,Rubella,59
AFG,Afghanistan,2015,ttetanus,Total tetanus,74
AFG,Afghanistan,2015,yfever,Yellow fever,0
AFG,Afghanistan,2014,crs,Congenital rubella syndrome,0
AFG,Afghanistan,2014,diphtheria,Diphtheria,0
AFG,Afghanistan,2014,japenc,Japanese encephalitis,
AFG,Afghanistan,2014,measles,Measles,492
AFG,Afghanistan,2014,mumps,Mumps,0
AFG,Afghanistan,2014,ntetanus,Neonatal tetanus,17
AFG,Afghanistan,2014,pertussis,Pertussis,0
AFG,Afghanistan,2014,poliomyelitis,Poliomyelitis,28
AFG,Afghanistan,2014,rubella,Rubella,43
AFG,Afghanistan,2014,ttetanus,Total tetanus,39
AFG,Afghanistan,2014,yfever,Yellow fever,
AFG,Afghanistan,2013,crs,Congenital rubella syndrome,0
AFG,Afghanistan,2013,diphtheria,Diphtheria,0
AFG,Afghanistan,2013,japenc,Japanese encephalitis,0
AFG,Afghanistan,2013,measles,Measles,430
AFG,Afghanistan,2013,mumps,Mumps,0
AFG,Afghanistan,2013,ntetanus,Neonatal tetanus,13
AFG,Afghanistan,2013,pertussis,Pertussis,371
AFG,Afghanistan,2013,poliomyelitis,Poliomyelitis,17
AFG,Afghanistan,2013,rubella,Rubella,367
AFG,Afghanistan,2013,ttetanus,Total tetanus,24
AFG,Afghanistan,2013,yfever,Yellow fever,0
AFG,Afghanistan,2012,crs,Congenital rubella syndrome,
AFG,Afghanistan,2012,diphtheria,Diphtheria,0
AFG,Afghanistan,2012,japenc,Japanese encephalitis,
AFG,Afghanistan,2012,measles,Measles,2787
AFG,Afghanistan,2012,mumps,Mumps,
AFG,Afghanistan,2012,ntetanus,Neonatal tetanus,21
AFG,Afghanistan,2012,pertussis,Pertussis,1497
AFG,Afghanistan,2012,poliomyelitis,Poliomyelitis,46
AFG,Afghanistan,2012,rubella,Rubella,
AFG,Afghanistan,2012,ttetanus,Total tetanus,37
AFG,Afghanistan,2012,yfever,Yellow fever,
AFG,Afghanistan,2011,crs,Congenital rubella syndrome,
AFG,Afghanistan,2011,diphtheria,Diphtheria,0
AFG,Afghanistan,2011,japenc,Japanese encephalitis,
AFG,Afghanistan,2011,measles,Measles,3013
AFG,Afghanistan,2011,mumps,Mumps,
AFG,Afghanistan,2011,ntetanus,Neonatal tetanus,20
AFG,Afghanistan,2011,pertussis,Pertussis,0
AFG,Afghanistan,2011,poliomyelitis,Poliomyelitis,81
AFG,Afghanistan,2011,rubella,Rubella,750
AFG,Afghanistan,2011,ttetanus,Total tetanus,20
AFG,Afghanistan,2011,yfever,Yellow fever,
AFG,Afghanistan,2010,crs,Congenital rubella syndrome,0
AFG,Afghanistan,2010,diphtheria,Diphtheria,0
AFG,Afghanistan,2010,japenc,Japanese encephalitis,0
AFG,Afghanistan,2010,measles,Measles,1989
AFG,Afghanistan,2010,mumps,Mumps,0
AFG,Afghanistan,2010,ntetanus,Neonatal tetanus,23
AFG,Afghanistan,2010,pertussis,Pertussis,0
AFG,Afghanistan,2010,poliomyelitis,Poliomyelitis,30
AFG,Afghanistan,2010,rubella,Rubella,46
AFG,Afghanistan,2010,ttetanus,Total tetanus,23
AFG,Afghanistan,2010,yfever,Yellow fever,0
AFG,Afghanistan,2009,crs,Congenital rubella syndrome,
AFG,Afghanistan,2009,diphtheria,Diphtheria,0
AFG,Afghanistan,2009,japenc,Japanese encephalitis,
AFG,Afghanistan,2009,measles,Measles,2861
AFG,Afghanistan,2009,mumps,Mumps,
AFG,Afghanistan,2009,ntetanus,Neonatal tetanus,
AFG,Afghanistan,2009,pertussis,Pertussis,0
AFG,Afghanistan,2009,poliomyelitis,Poliomyelitis,38
AFG,Afghanistan,2009,rubella,Rubella,501
AFG,Afghanistan,2009,ttetanus,Total tetanus,19
AFG,Afghanistan,2009,yfever,Yellow fever,
AFG,Afghanistan,2008,crs,Congenital rubella syndrome,
AFG,Afghanistan,2008,diphtheria,Diphtheria,0
AFG,Afghanistan,2008,japenc,Japanese encephalitis,
AFG,Afghanistan,2008,measles,Measles,1599
AFG,Afghanistan,2008,mumps,Mumps,
AFG,Afghanistan,2008,ntetanus,Neonatal tetanus,12
AFG,Afghanistan,2008,pertussis,Pertussis,2448
AFG,Afghanistan,2008,poliomyelitis,Poliomyelitis,31
AFG,Afghanistan,2008,rubella,Rubella,415
AFG,Afghanistan,2008,ttetanus,Total tetanus,57
AFG,Afghanistan,2008,yfever,Yellow fever,
AFG,Afghanistan,2007,crs,Congenital rubella syndrome,
AFG,Afghanistan,2007,diphtheria,Diphtheria,104
AFG,Afghanistan,2007,japenc,Japanese encephalitis,
AFG,Afghanistan,2007,measles,Measles,1141
AFG,Afghanistan,2007,mumps,Mumps,
AFG,Afghanistan,2007,ntetanus,Neonatal tetanus,40
AFG,Afghanistan,2007,pertussis,Pertussis,5904
AFG,Afghanistan,2007,poliomyelitis,Poliomyelitis,17
AFG,Afghanistan,2007,rubella,Rubella,152
AFG,Afghanistan,2007,ttetanus,Total tetanus,71
AFG,Afghanistan,2007,yfever,Yellow fever,
AFG,Afghanistan,2006,crs,Congenital rubella syndrome,
AFG,Afghanistan,2006,diphtheria,Diphtheria,53
AFG,Afghanistan,2006,japenc,Japanese encephalitis,
AFG,Afghanistan,2006,measles,Measles,1990
AFG,Afghanistan,2006,mumps,Mumps,
AFG,Afghanistan,2006,ntetanus,Neonatal tetanus,33
AFG,Afghanistan,2006,pertussis,Pertussis,2515
AFG,Afghanistan,2006,poliomyelitis,Poliomyelitis,31
AFG,Afghanistan,2006,rubella,Rubella,196
AFG,Afghanistan,2006,ttetanus,Total tetanus,43
AFG,Afghanistan,2006,yfever,Yellow fever,
AFG,Afghanistan,2005,crs,Congenital rubella syndrome,
AFG,Afghanistan,2005,diphtheria,Diphtheria,179
AFG,Afghanistan,2005,measles,Measles,1296
AFG,Afghanistan,2005,mumps,Mumps,
AFG,Afghanistan,2005,ntetanus,Neonatal tetanus,39
AFG,Afghanistan,2005,pertussis,Pertussis,2173
AFG,Afghanistan,2005,poliomyelitis,Poliomyelitis,9
AFG,Afghanistan,2005,rubella,Rubella,
AFG,Afghanistan,2005,ttetanus,Total tetanus,
AFG,Afghanistan,2005,yfever,Yellow fever,
AFG,Afghanistan,2004,crs,Congenital rubella syndrome,
AFG,Afghanistan,2004,diphtheria,Diphtheria,26
AFG,Afghanistan,2004,measles,Measles,466
AFG,Afghanistan,2004,mumps,Mumps,
AFG,Afghanistan,2004,ntetanus,Neonatal tetanus,81
AFG,Afghanistan,2004,pertussis,Pertussis,558
AFG,Afghanistan,2004,poliomyelitis,Poliomyelitis,4
AFG,Afghanistan,2004,rubella,Rubella,
AFG,Afghanistan,2004,ttetanus,Total tetanus,81
AFG,Afghanistan,2004,yfever,Yellow fever,
AFG,Afghanistan,2003,crs,Congenital rubella syndrome,
AFG,Afghanistan,2003,diphtheria,Diphtheria,79
AFG,Afghanistan,2003,measles,Measles,798
AFG,Afghanistan,2003,mumps,Mumps,
AFG,Afghanistan,2003,ntetanus,Neonatal tetanus,121
AFG,Afghanistan,2003,pertussis,Pertussis,
AFG,Afghanistan,2003,poliomyelitis,Poliomyelitis,8
AFG,Afghanistan,2003,rubella,Rubella,
AFG,Afghanistan,2003,ttetanus,Total tetanus,121
AFG,Afghanistan,2003,yfever,Yellow fever,
AFG,Afghanistan,2002,crs,Congenital rubella syndrome,
AFG,Afghanistan,2002,diphtheria,Diphtheria,854
AFG,Afghanistan,2002,measles,Measles,2486
AFG,Afghanistan,2002,mumps,Mumps,
AFG,Afghanistan,2002,ntetanus,Neonatal tetanus,595
AFG,Afghanistan,2002,pertussis,Pertussis,1439
AFG,Afghanistan,2002,poliomyelitis,Poliomyelitis,10
AFG,Afghanistan,2002,rubella,Rubella,
AFG,Afghanistan,2002,ttetanus,Total tetanus,975
AFG,Afghanistan,2002,yfever,Yellow fever,
AFG,Afghanistan,2001,crs,Congenital rubella syndrome,
AFG,Afghanistan,2001,diphtheria,Diphtheria,
AFG,Afghanistan,2001,measles,Measles,8762
AFG,Afghanistan,2001,mumps,Mumps,
AFG,Afghanistan,2001,ntetanus,Neonatal tetanus,211
AFG,Afghanistan,2001,pertussis,Pertussis,
AFG,Afghanistan,2001,poliomyelitis,Poliomyelitis,11
AFG,Afghanistan,2001,rubella,Rubella,
AFG,Afghanistan,2001,ttetanus,Total tetanus,
AFG,Afghanistan,2001,yfever,Yellow fever,
AFG,Afghanistan,2000,crs,Congenital rubella syndrome,
AFG,Afghanistan,2000,diphtheria,Diphtheria,84
AFG,Afghanistan,2000,measles,Measles,6532
AFG,Afghanistan,2000,mumps,Mumps,
AFG,Afghanistan,2000,ntetanus,Neonatal tetanus,139
AFG,Afghanistan,2000,pertussis,Pertussis,896
AFG,Afghanistan,2000,poliomyelitis,Poliomyelitis,120
AFG,Afghanistan,2000,rubella,Rubella,
AFG,Afghanistan,2000,ttetanus,Total tetanus,
AFG,Afghanistan,2000,yfever,Yellow fever,
AFG,Afghanistan,1999,crs,Congenital rubella syndrome,
AFG,Afghanistan,1999,diphtheria,Diphtheria,297
AFG,Afghanistan,1999,measles,Measles,3609
AFG,Afghanistan,1999,mumps,Mumps,
AFG,Afghanistan,1999,ntetanus,Neonatal tetanus,88
AFG,Afghanistan,1999,pertussis,Pertussis,1582
AFG,Afghanistan,1999,poliomyelitis,Poliomyelitis,150
AFG,Afghanistan,1999,rubella,Rubella,
AFG,Afghanistan,1999,ttetanus,Total tetanus,221
AFG,Afghanistan,1999,yfever,Yellow fever,0
AFG,Afghanistan,1998,diphtheria,Diphtheria,84
AFG,Afghanistan,1998,measles,Measles,2205
AFG,Afghanistan,1998,ntetanus,Neonatal tetanus,310
AFG,Afghanistan,1998,pertussis,Pertussis,896
AFG,Afghanistan,1998,poliomyelitis,Poliomyelitis,59
AFG,Afghanistan,1998,ttetanus,Total tetanus,383
AFG,Afghanistan,1998,yfever,Yellow fever,0
AFG,Afghanistan,1997,diphtheria,Diphtheria,
AFG,Afghanistan,1997,measles,Measles,
AFG,Afghanistan,1997,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1997,pertussis,Pertussis,
AFG,Afghanistan,1997,poliomyelitis,Poliomyelitis,19
AFG,Afghanistan,1997,ttetanus,Total tetanus,
AFG,Afghanistan,1997,yfever,Yellow fever,
AFG,Afghanistan,1996,diphtheria,Diphtheria,
AFG,Afghanistan,1996,measles,Measles,
AFG,Afghanistan,1996,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1996,pertussis,Pertussis,
AFG,Afghanistan,1996,poliomyelitis,Poliomyelitis,
AFG,Afghanistan,1996,ttetanus,Total tetanus,
AFG,Afghanistan,1996,yfever,Yellow fever,
AFG,Afghanistan,1995,diphtheria,Diphtheria,
AFG,Afghanistan,1995,measles,Measles,
AFG,Afghanistan,1995,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1995,pertussis,Pertussis,
AFG,Afghanistan,1995,poliomyelitis,Poliomyelitis,0
AFG,Afghanistan,1995,ttetanus,Total tetanus,
AFG,Afghanistan,1995,yfever,Yellow fever,
AFG,Afghanistan,1994,diphtheria,Diphtheria,
AFG,Afghanistan,1994,measles,Measles,
AFG,Afghanistan,1994,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1994,pertussis,Pertussis,
AFG,Afghanistan,1994,poliomyelitis,Poliomyelitis,
AFG,Afghanistan,1994,ttetanus,Total tetanus,
AFG,Afghanistan,1994,yfever,Yellow fever,
AFG,Afghanistan,1993,diphtheria,Diphtheria,
AFG,Afghanistan,1993,measles,Measles,
AFG,Afghanistan,1993,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1993,pertussis,Pertussis,
AFG,Afghanistan,1993,poliomyelitis,Poliomyelitis,
AFG,Afghanistan,1993,ttetanus,Total tetanus,
AFG,Afghanistan,1993,yfever,Yellow fever,
AFG,Afghanistan,1992,diphtheria,Diphtheria,
AFG,Afghanistan,1992,measles,Measles,
AFG,Afghanistan,1992,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1992,pertussis,Pertussis,
AFG,Afghanistan,1992,poliomyelitis,Poliomyelitis,
AFG,Afghanistan,1992,ttetanus,Total tetanus,
AFG,Afghanistan,1992,yfever,Yellow fever,
AFG,Afghanistan,1991,diphtheria,Diphtheria,21
AFG,Afghanistan,1991,measles,Measles,792
AFG,Afghanistan,1991,ntetanus,Neonatal tetanus,0
AFG,Afghanistan,1991,pertussis,Pertussis,541
AFG,Afghanistan,1991,poliomyelitis,Poliomyelitis,2
AFG,Afghanistan,1991,ttetanus,Total tetanus,3
AFG,Afghanistan,1991,yfever,Yellow fever,
AFG,Afghanistan,1990,diphtheria,Diphtheria,368
AFG,Afghanistan,1990,measles,Measles,1609
AFG,Afghanistan,1990,ntetanus,Neonatal tetanus,3
AFG,Afghanistan,1990,pertussis,Pertussis,411
AFG,Afghanistan,1990,poliomyelitis,Poliomyelitis,48
AFG,Afghanistan,1990,ttetanus,Total tetanus,131
AFG,Afghanistan,1990,yfever,Yellow fever,
AFG,Afghanistan,1989,diphtheria,Diphtheria,286
AFG,Afghanistan,1989,measles,Measles,1170
AFG,Afghanistan,1989,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1989,pertussis,Pertussis,1494
AFG,Afghanistan,1989,poliomyelitis,Poliomyelitis,55
AFG,Afghanistan,1989,ttetanus,Total tetanus,51
AFG,Afghanistan,1989,yfever,Yellow fever,
AFG,Afghanistan,1988,diphtheria,Diphtheria,661
AFG,Afghanistan,1988,measles,Measles,4561
AFG,Afghanistan,1988,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1988,pertussis,Pertussis,4587
AFG,Afghanistan,1988,poliomyelitis,Poliomyelitis,307
AFG,Afghanistan,1988,ttetanus,Total tetanus,951
AFG,Afghanistan,1988,yfever,Yellow fever,
AFG,Afghanistan,1987,diphtheria,Diphtheria,1272
AFG,Afghanistan,1987,measles,Measles,10357
AFG,Afghanistan,1987,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1987,pertussis,Pertussis,6073
AFG,Afghanistan,1987,poliomyelitis,Poliomyelitis,628
AFG,Afghanistan,1987,ttetanus,Total tetanus,168
AFG,Afghanistan,1987,yfever,Yellow fever,
AFG,Afghanistan,1986,diphtheria,Diphtheria,1053
AFG,Afghanistan,1986,measles,Measles,8107
AFG,Afghanistan,1986,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1986,pertussis,Pertussis,5872
AFG,Afghanistan,1986,poliomyelitis,Poliomyelitis,1843
AFG,Afghanistan,1986,ttetanus,Total tetanus,698
AFG,Afghanistan,1986,yfever,Yellow fever,
AFG,Afghanistan,1985,diphtheria,Diphtheria,3179
AFG,Afghanistan,1985,measles,Measles,14457
AFG,Afghanistan,1985,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1985,pertussis,Pertussis,8531
AFG,Afghanistan,1985,poliomyelitis,Poliomyelitis,1981
AFG,Afghanistan,1985,ttetanus,Total tetanus,2829
AFG,Afghanistan,1985,yfever,Yellow fever,
AFG,Afghanistan,1984,diphtheria,Diphtheria,555
AFG,Afghanistan,1984,measles,Measles,16199
AFG,Afghanistan,1984,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1984,pertussis,Pertussis,6175
AFG,Afghanistan,1984,poliomyelitis,Poliomyelitis,552
AFG,Afghanistan,1984,ttetanus,Total tetanus,355
AFG,Afghanistan,1984,yfever,Yellow fever,
AFG,Afghanistan,1983,diphtheria,Diphtheria,1940
AFG,Afghanistan,1983,measles,Measles,18808
AFG,Afghanistan,1983,ntetanus,Neonatal tetanus,
AFG,Afghanistan,1983,pertussis,Pertussis,10209
AFG,Afghanistan,1983,poliomyelitis,Poliomyelitis,1991
AFG,Afghanistan,1983,ttetanus,Total tetanus,912
AFG,Afghanistan,1983,yfever,Yellow fever,
AFG,Afghanistan,1982,diphtheria,Diphtheria,1563
AFG,Afghanistan,1982,measles,Measles,20320
AFG,Afghanistan,1982,ntetanus,Neonatal tetanus,121
AFG,Afghanistan,1982,pertussis,Pertussis,8528
AFG,Afghanistan,1982,poliomyelitis,Poliomyelitis,1390
AFG,Afghanistan,1982,ttetanus,Total tetanus,1481
AFG,Afghanistan,1982,yfever,Yellow fever,
AFG,Afghanistan,1981,diphtheria,Diphtheria,1464
AFG,Afghanistan,1981,measles,Measles,31107
AFG,Afghanistan,1981,ntetanus,Neonatal tetanus,14
AFG,Afghanistan,1981,pertussis,Pertussis,15388
AFG,Afghanistan,1981,poliomyelitis,Poliomyelitis,837
AFG,Afghanistan,1981,ttetanus,Total tetanus,1208
AFG,Afghanistan,1981,yfever,Yellow fever,
AFG,Afghanistan,1980,diphtheria,Diphtheria,1939
AFG,Afghanistan,1980,measles,Measles,32455
AFG,Afghanistan,1980,ntetanus,Neonatal tetanus,16
AFG,Afghanistan,1980,pertussis,Pertussis,15748
AFG,Afghanistan,1980,poliomyelitis,Poliomyelitis,880
AFG,Afghanistan,1980,ttetanus,Total tetanus,1618
AFG,Afghanistan,1980,yfever,Yellow fever,
AGO,Angola,2023,crs,Congenital rubella syndrome,
AGO,Angola,2023,diphtheria,Diphtheria,
AGO,Angola,2023,invasive_mening,Invasive meningococcal disease,
AGO,Angola,2023,japenc,Japanese encephalitis,
AGO,Angola,2023,measles,Measles,3508
AGO,Angola,2023,mumps,Mumps,
AGO,Angola,2023,ntetanus,Neonatal tetanus,220
AGO,Angola,2023,pertussis,Pertussis,
AGO,Angola,2023,poliomyelitis,Poliomyelitis,
AGO,Angola,2023,rubella,Rubella,200
AGO,Angola,2023,ttetanus,Total tetanus,1947
AGO,Angola,2023,typhoid,Typhoid,787946
AGO,Angola,2023,yfever,Yellow fever,4
AGO,Angola,2022,crs,Congenital rubella syndrome,
AGO,Angola,2022,diphtheria,Diphtheria,
AGO,Angola,2022,invasive_mening,Invasive meningococcal disease,
AGO,Angola,2022,japenc,Japanese encephalitis,
AGO,Angola,2022,measles,Measles,3271
AGO,Angola,2022,mumps,Mumps,
AGO,Angola,2022,ntetanus,Neonatal tetanus,239
AGO,Angola,2022,pertussis,Pertussis,
AGO,Angola,2022,poliomyelitis,Poliomyelitis,
AGO,Angola,2022,rubella,Rubella,66
AGO,Angola,2022,ttetanus,Total tetanus,921
