age,status,value,iso,disease,R0,prop
10,Susceptible,2379611,NGA,diphtheria,2,0.357233643849642
10,Vaccine and exposure protected,0,NGA,diphtheria,2,0
10,Vaccine protected,4281048,NGA,diphtheria,2,0.642682512618752
11,Exposure protected,510,NGA,diphtheria,2,0.0000780601889974929
11,Susceptible,2304220,NGA,diphtheria,2,0.352682056258437
11,Vaccine and exposure protected,0,NGA,diphtheria,2,0
11,Vaccine protected,4228690,NGA,diphtheria,2,0.647239883552565
12,Exposure protected,511,NGA,diphtheria,2,0.0000799569077643869
12,Susceptible,2237484,NGA,diphtheria,2,0.350102351883153
12,Vaccine and exposure protected,0,NGA,diphtheria,2,0
12,Vaccine protected,4152947.5,NGA,diphtheria,2,0.649817691209082
13,Exposure protected,493.5,NGA,diphtheria,2,0.000079078731971331
13,Susceptible,2197026,NGA,diphtheria,2,0.352052746075067
13,Vaccine and exposure protected,0,NGA,diphtheria,2,0
13,Vaccine protected,4043096.5,NGA,diphtheria,2,0.647868175192962
14,Exposure protected,488,NGA,diphtheria,2,0.0000802981562687685
14,Susceptible,2185386,NGA,diphtheria,2,0.359595218310612
14,Vaccine and exposure protected,0,NGA,diphtheria,2,0
14,Vaccine protected,3891476,NGA,diphtheria,2,0.640324483533119
15,Exposure protected,478,NGA,diphtheria,2,0.0000809214138799355
15,Susceptible,2204975.5,NGA,diphtheria,2,0.3732839644992
15,Vaccine and exposure protected,0,NGA,diphtheria,2,0
15,Vaccine protected,3701512,NGA,diphtheria,2,0.62663511408692
16,Exposure protected,469,NGA,diphtheria,2,0.0000818074528159381
16,Susceptible,2250638,NGA,diphtheria,2,0.392577744116753
16,Vaccine and exposure protected,0,NGA,diphtheria,2,0
16,Vaccine protected,3481867,NGA,diphtheria,2,0.607340448430431
17,Exposure protected,454,NGA,diphtheria,2,0.0000817950666044255
17,Susceptible,2311098.5,NGA,diphtheria,2,0.416379858451295
17,Vaccine and exposure protected,0,NGA,diphtheria,2,0
17,Vaccine protected,3238904.5,NGA,diphtheria,2,0.583538346482101
18,Exposure protected,421.5,NGA,diphtheria,2,0.0000785155549280106
18,Susceptible,2378833.5,NGA,diphtheria,2,0.443120835904726
18,Vaccine and exposure protected,0,NGA,diphtheria,2,0
18,Vaccine protected,2989108,NGA,diphtheria,2,0.556800648540347
19,Exposure protected,422,NGA,diphtheria,2,0.0000814132648252928
19,Susceptible,2440520.5,NGA,diphtheria,2,0.470831141654161
19,Vaccine and exposure protected,0,NGA,diphtheria,2,0
19,Vaccine protected,2742488,NGA,diphtheria,2,0.529087445081014
20,Exposure protected,434,NGA,diphtheria,2,0.0000868947587343999
20,Susceptible,2483257.5,NGA,diphtheria,2,0.497193689718638
20,Vaccine and exposure protected,0,NGA,diphtheria,2,0
20,Vaccine protected,2510856,NGA,diphtheria,2,0.502719415522627
21,Exposure protected,455.5,NGA,diphtheria,2,0.000094595934659234
21,Susceptible,2506225,NGA,diphtheria,2,0.520480123691194
21,Vaccine and exposure protected,0,NGA,diphtheria,2,0
21,Vaccine protected,2308537,NGA,diphtheria,2,0.479425280374147
22,Exposure protected,463.5,NGA,diphtheria,2,0.0000999231443345086
22,Susceptible,2505368.5,NGA,diphtheria,2,0.540117148299097
22,Vaccine and exposure protected,0,NGA,diphtheria,2,0
22,Vaccine protected,2132733,NGA,diphtheria,2,0.459782928556569
23,Exposure protected,453,NGA,diphtheria,2,0.00010133624024429
23,Susceptible,2481501,NGA,diphtheria,2,0.555112541948002
23,Vaccine and exposure protected,0,NGA,diphtheria,2,0
23,Vaccine protected,1988312.5,NGA,diphtheria,2,0.444786121811753
24,Exposure protected,491,NGA,diphtheria,2,0.000114021682929851
24,Susceptible,2436218.5,NGA,diphtheria,2,0.565746911109648
24,Vaccine and exposure protected,0,NGA,diphtheria,2,0
24,Vaccine protected,1869489,NGA,diphtheria,2,0.434139067207422
25,Exposure protected,486,NGA,diphtheria,2,0.000117218110342762
25,Susceptible,2371614.5,NGA,diphtheria,2,0.572008580558629
25,Vaccine and exposure protected,0,NGA,diphtheria,2,0
25,Vaccine protected,1774016.5,NGA,diphtheria,2,0.427874201331029
26,Exposure protected,529,NGA,diphtheria,2,0.000132412569532243
26,Susceptible,2297852.5,NGA,diphtheria,2,0.575169289094686
26,Vaccine and exposure protected,0,NGA,diphtheria,2,0
26,Vaccine protected,1696707.5,NGA,diphtheria,2,0.424698298335782
27,Exposure protected,570.5,NGA,diphtheria,2,0.000148136242239238
27,Susceptible,2219757,NGA,diphtheria,2,0.576382928421113
27,Vaccine and exposure protected,1,NGA,diphtheria,2,0.000000259660372023205
27,Vaccine protected,1630856,NGA,diphtheria,2,0.423468675676276
28,Exposure protected,623,NGA,diphtheria,2,0.000167779405899318
28,Susceptible,2139599,NGA,diphtheria,2,0.576212919876043
28,Vaccine and exposure protected,3,NGA,diphtheria,2,0.000000807926513158834
28,Vaccine protected,1572984,NGA,diphtheria,2,0.423618492791545
29,Exposure protected,707.5,NGA,diphtheria,2,0.000197489221136008
29,Susceptible,2065381,NGA,diphtheria,2,0.576523653765526
29,Vaccine and exposure protected,11,NGA,diphtheria,2,0.00000307050379151391
29,Vaccine protected,1516374.5,NGA,diphtheria,2,0.423275786509546
30,Exposure protected,817.5,NGA,diphtheria,2,0.00023623009707251
30,Susceptible,1996929.5,NGA,diphtheria,2,0.57704568762319
30,Vaccine and exposure protected,26,NGA,diphtheria,2,0.0000075131284695844
30,Vaccine protected,1462836,NGA,diphtheria,2,0.422710569151268
31,Exposure protected,953.5,NGA,diphtheria,2,0.000284935446507442
31,Susceptible,1939539,NGA,diphtheria,2,0.579594557927212
31,Vaccine and exposure protected,35,NGA,diphtheria,2,0.0000104590882304777
31,Vaccine protected,1405844.5,NGA,diphtheria,2,0.42011004753805
32,Exposure protected,1160.5,NGA,diphtheria,2,0.000358735938818598
32,Susceptible,1890937.5,NGA,diphtheria,2,0.58453015020232
32,Vaccine and exposure protected,48,NGA,diphtheria,2,0.0000148378501191665
32,Vaccine protected,1342824,NGA,diphtheria,2,0.415096276008742
33,Exposure protected,1511.5,NGA,diphtheria,2,0.000483191705789797
33,Susceptible,1853325.5,NGA,diphtheria,2,0.592465438126847
33,Vaccine and exposure protected,74,NGA,diphtheria,2,0.0000236560940975488
33,Vaccine protected,1273247,NGA,diphtheria,2,0.407027714073266
34,Exposure protected,1920.5,NGA,diphtheria,2,0.000635526265716493
34,Susceptible,1822447.5,NGA,diphtheria,2,0.603079018036636
34,Vaccine and exposure protected,95,NGA,diphtheria,2,0.0000314371232715787
34,Vaccine protected,1197442,NGA,diphtheria,2,0.396254018574376
35,Exposure protected,2591,NGA,diphtheria,2,0.000886234631559325
35,Susceptible,1799468,NGA,diphtheria,2,0.615496279422152
35,Vaccine and exposure protected,143,NGA,diphtheria,2,0.0000489122162535637
35,Vaccine protected,1121403,NGA,diphtheria,2,0.383568573730035
36,Exposure protected,3510.5,NGA,diphtheria,2,0.00124056807805066
36,Susceptible,1784428,NGA,diphtheria,2,0.630595189967177
36,Vaccine and exposure protected,209,NGA,diphtheria,2,0.0000738580624733192
36,Vaccine protected,1041604.5,NGA,diphtheria,2,0.368090383892299
37,Exposure protected,4669.5,NGA,diphtheria,2,0.00170570825064907
37,Susceptible,1772371.5,NGA,diphtheria,2,0.647424497433401
37,Vaccine and exposure protected,290.5,NGA,diphtheria,2,0.00010611591108546
37,Vaccine protected,960241,NGA,diphtheria,2,0.350763678404864
38,Exposure protected,6215.5,NGA,diphtheria,2,0.0023453398280625
38,Susceptible,1761693,NGA,diphtheria,2,0.664752434674428
38,Vaccine and exposure protected,384.5,NGA,diphtheria,2,0.000145086181946751
38,Vaccine protected,881856,NGA,diphtheria,2,0.332757139315563
39,Exposure protected,8113.5,NGA,diphtheria,2,0.00316662142550068
39,Susceptible,1748941.5,NGA,diphtheria,2,0.682595134756553
39,Vaccine and exposure protected,489,NGA,diphtheria,2,0.000190852021577597
39,Vaccine protected,804650.5,NGA,diphtheria,2,0.314047391796368
40,Exposure protected,10617.5,NGA,diphtheria,2,0.00428896668118203
40,Susceptible,1735730,NGA,diphtheria,2,0.701152638335586
40,Vaccine and exposure protected,654.5,NGA,diphtheria,2,0.000264386973659867
40,Vaccine protected,728536,NGA,diphtheria,2,0.294294008009572
41,Exposure protected,13457.5,NGA,diphtheria,2,0.0056267402599276
41,Susceptible,1716981,NGA,diphtheria,2,0.7178901072436
41,Vaccine and exposure protected,802,NGA,diphtheria,2,0.000335325705997543
41,Vaccine protected,660464,NGA,diphtheria,2,0.276147826790475
42,Exposure protected,16803.5,NGA,diphtheria,2,0.00728171642842069
42,Susceptible,1692853,NGA,diphtheria,2,0.733589758145699
42,Vaccine and exposure protected,1058,NGA,diphtheria,2,0.000458479244280601
42,Vaccine protected,596914.5,NGA,diphtheria,2,0.2586700461816
43,Exposure protected,20922,NGA,diphtheria,2,0.00939418675761813
43,Susceptible,1665014.5,NGA,diphtheria,2,0.747608123847728
43,Vaccine and exposure protected,1173,NGA,diphtheria,2,0.000526688704076382
43,Vaccine protected,540012.5,NGA,diphtheria,2,0.242471000690577
44,Exposure protected,25533,NGA,diphtheria,2,0.0118973647847228
44,Susceptible,1630945.5,NGA,diphtheria,2,0.759955882877147
44,Vaccine and exposure protected,1357.5,NGA,diphtheria,2,0.000632541130899669
44,Vaccine protected,488269.5,NGA,diphtheria,2,0.227514211207231
45,Exposure protected,30520,NGA,diphtheria,2,0.0147625143386725
45,Susceptible,1594899,NGA,diphtheria,2,0.771452141423146
45,Vaccine and exposure protected,1590.5,NGA,diphtheria,2,0.000769324346515681
45,Vaccine protected,440389,NGA,diphtheria,2,0.213016019891666
46,Exposure protected,36156,NGA,diphtheria,2,0.0181959232294694
46,Susceptible,1552089,NGA,diphtheria,2,0.78110665696714
46,Vaccine and exposure protected,1842,NGA,diphtheria,2,0.00092700770518538
46,Vaccine protected,396951.5,NGA,diphtheria,2,0.199770412098205
47,Exposure protected,42313.5,NGA,diphtheria,2,0.022163615340395
47,Susceptible,1506179,NGA,diphtheria,2,0.788929584879075
47,Vaccine and exposure protected,1986.5,NGA,diphtheria,2,0.00104051950024684
47,Vaccine protected,358663.5,NGA,diphtheria,2,0.187866280280283
48,Exposure protected,49173.5,NGA,diphtheria,2,0.0268347653830517
48,Susceptible,1457013.5,NGA,diphtheria,2,0.795115569004423
48,Vaccine and exposure protected,2206,NGA,diphtheria,2,0.0012038494806148
48,Vaccine protected,324062,NGA,diphtheria,2,0.17684581613191
49,Exposure protected,56477.5,NGA,diphtheria,2,0.032158144447592
49,Susceptible,1405664.5,NGA,diphtheria,2,0.800381780989812
49,Vaccine and exposure protected,2293,NGA,diphtheria,2,0.0013056283514378
49,Vaccine protected,291807.5,NGA,diphtheria,2,0.166154446211158
50,Exposure protected,64088,NGA,diphtheria,2,0.0381101327414552
50,Susceptible,1351536,NGA,diphtheria,2,0.803695174835467
50,Vaccine and exposure protected,2368,NGA,diphtheria,2,0.00140813872069289
50,Vaccine protected,263660.5,NGA,diphtheria,2,0.156786553702385
51,Exposure protected,71981.5,NGA,diphtheria,2,0.0448087683416899
51,Susceptible,1295023,NGA,diphtheria,2,0.80615693760425
51,Vaccine and exposure protected,2492,NGA,diphtheria,2,0.00155127985256616
51,Vaccine protected,236919,NGA,diphtheria,2,0.147483014201494
52,Exposure protected,80650.5,NGA,diphtheria,2,0.0525700157872026
52,Susceptible,1239469.5,NGA,diphtheria,2,0.807917262543395
52,Vaccine and exposure protected,2501,NGA,diphtheria,2,0.00163021443740329
52,Vaccine protected,211533,NGA,diphtheria,2,0.137882507231999
53,Exposure protected,89030,NGA,diphtheria,2,0.0608064452236582
53,Susceptible,1184658.5,NGA,diphtheria,2,0.809107853408863
53,Vaccine and exposure protected,2481,NGA,diphtheria,2,0.00169449388520606
53,Vaccine protected,187984.5,NGA,diphtheria,2,0.128391207482273
54,Exposure protected,97153.5,NGA,diphtheria,2,0.0697213292576112
54,Susceptible,1127698,NGA,diphtheria,2,0.809282255000074
54,Vaccine and exposure protected,2449.5,NGA,diphtheria,2,0.00175786148740415
54,Vaccine protected,166153.5,NGA,diphtheria,2,0.119238554254911
55,Exposure protected,105128.5,NGA,diphtheria,2,0.0793810859952641
55,Susceptible,1071525.5,NGA,diphtheria,2,0.809094183419514
55,Vaccine and exposure protected,2361,NGA,diphtheria,2,0.00178275866234959
55,Vaccine protected,145337,NGA,diphtheria,2,0.109741971922872
56,Exposure protected,113159.5,NGA,diphtheria,2,0.0898833163881299
56,Susceptible,1016946.5,NGA,diphtheria,2,0.807767125246235
56,Vaccine and exposure protected,2155.5,NGA,diphtheria,2,0.00171212747029294
56,Vaccine protected,126698.5,NGA,diphtheria,2,0.100637430895342
57,Exposure protected,121040.5,NGA,diphtheria,2,0.100971083549389
57,Susceptible,965923,NGA,diphtheria,2,0.805765772078574
57,Vaccine and exposure protected,2040.5,NGA,diphtheria,2,0.00170216990166538
57,Vaccine protected,109760,NGA,diphtheria,2,0.0915609744703712
58,Exposure protected,127800.5,NGA,diphtheria,2,0.112199989113659
58,Susceptible,915485.5,NGA,diphtheria,2,0.803732873765849
58,Vaccine and exposure protected,1845,NGA,diphtheria,2,0.00161978223805619
58,Vaccine protected,93911,NGA,diphtheria,2,0.0824473548824363
59,Exposure protected,134623,NGA,diphtheria,2,0.124445648220089
59,Susceptible,866336,NGA,diphtheria,2,0.800841944514673
59,Vaccine and exposure protected,1635.5,NGA,diphtheria,2,0.00151185798610903
59,Vaccine protected,79187,NGA,diphtheria,2,0.0732005492791289
60,Exposure protected,140354.5,NGA,diphtheria,2,0.136644665649937
60,Susceptible,818670,NGA,diphtheria,2,0.797031006684032
60,Vaccine and exposure protected,1429.5,NGA,diphtheria,2,0.00139171561686006
60,Vaccine protected,66695.5,NGA,diphtheria,2,0.064932612049171
61,Exposure protected,146295,NGA,diphtheria,2,0.150226888348752
61,Susceptible,770987.5,NGA,diphtheria,2,0.791708896960138
61,Vaccine and exposure protected,1209,NGA,diphtheria,2,0.00124149361231512
61,Vaccine protected,55335.5,NGA,diphtheria,2,0.0568227210787953
62,Exposure protected,150906,NGA,diphtheria,2,0.163681061313963
62,Susceptible,724655,NGA,diphtheria,2,0.786001215899101
62,Vaccine and exposure protected,1060.5,NGA,diphtheria,2,0.00115027742782565
62,Vaccine protected,45330,NGA,diphtheria,2,0.0491674453591105
63,Exposure protected,155263,NGA,diphtheria,2,0.178528576266139
63,Susceptible,676903,NGA,diphtheria,2,0.778334367236741
63,Vaccine and exposure protected,901,NGA,diphtheria,2,0.0010360114593676
63,Vaccine protected,36614.5,NGA,diphtheria,2,0.0421010450377523
64,Exposure protected,158722.5,NGA,diphtheria,2,0.193564496498772
64,Susceptible,630984.5,NGA,diphtheria,2,0.769495169500413
64,Vaccine and exposure protected,827,NGA,diphtheria,2,0.00100853904521718
64,Vaccine protected,29464,NGA,diphtheria,2,0.0359317949555975
65,Exposure protected,161431,NGA,diphtheria,2,0.208856182133158
65,Susceptible,587691,NGA,diphtheria,2,0.760342799920821
65,Vaccine and exposure protected,624.5,NGA,diphtheria,2,0.000807965544053852
65,Vaccine protected,23182.5,NGA,diphtheria,2,0.0299930524019671
66,Exposure protected,163030,NGA,diphtheria,2,0.224288445148522
66,Susceptible,545138,NGA,diphtheria,2,0.749973344852943
66,Vaccine and exposure protected,523.5,NGA,diphtheria,2,0.000720204876619343
66,Vaccine protected,18185,NGA,diphtheria,2,0.0250180051219155
67,Exposure protected,163065.5,NGA,diphtheria,2,0.239873285981066
67,Susceptible,502452,NGA,diphtheria,2,0.739119018356175
67,Vaccine and exposure protected,411.5,NGA,diphtheria,2,0.000605326431288095
67,Vaccine protected,13869.5,NGA,diphtheria,2,0.0204023692314708
68,Exposure protected,163366,NGA,diphtheria,2,0.257111785063953
68,Susceptible,461265,NGA,diphtheria,2,0.725956854777152
68,Vaccine and exposure protected,302.5,NGA,diphtheria,2,0.000476086303036408
68,Vaccine protected,10455.5,NGA,diphtheria,2,0.0164552738558584
69,Exposure protected,161945,NGA,diphtheria,2,0.273943289704607
69,Susceptible,421034,NGA,diphtheria,2,0.712213646839913
69,Vaccine and exposure protected,223.5,NGA,diphtheria,2,0.000378068635950352
69,Vaccine protected,7960,NGA,diphtheria,2,0.0134649948195293
70,Exposure protected,160262,NGA,diphtheria,2,0.292743250969497
70,Susceptible,380991.5,NGA,diphtheria,2,0.695939713105696
70,Vaccine and exposure protected,174.5,NGA,diphtheria,2,0.000318751153075446
70,Vaccine protected,6021,NGA,diphtheria,2,0.0109982847717322
71,Exposure protected,157645.5,NGA,diphtheria,2,0.311293677882313
71,Susceptible,344280.5,NGA,diphtheria,2,0.679831286450687
71,Vaccine and exposure protected,126,NGA,diphtheria,2,0.000248805093790634
71,Vaccine protected,4368.5,NGA,diphtheria,2,0.00862623057320942
72,Exposure protected,153812.5,NGA,diphtheria,2,0.330177439851625
72,Susceptible,308822,NGA,diphtheria,2,0.662924387353815
72,Vaccine and exposure protected,105,NGA,diphtheria,2,0.000225395407944222
72,Vaccine protected,3108.5,NGA,diphtheria,2,0.00667277738661538
73,Exposure protected,148718,NGA,diphtheria,2,0.348141810235348
73,Susceptible,276094,NGA,diphtheria,2,0.646323007000619
73,Vaccine and exposure protected,89,NGA,diphtheria,2,0.000208344794247811
73,Vaccine protected,2275.5,NGA,diphtheria,2,0.00532683796978532
74,Exposure protected,143019,NGA,diphtheria,2,0.367517798475389
74,Susceptible,244434.5,NGA,diphtheria,2,0.628126537812686
74,Vaccine and exposure protected,61,NGA,diphtheria,2,0.000156752499367208
74,Vaccine protected,1634,NGA,diphtheria,2,0.00419891121255767
75,Exposure protected,136578.5,NGA,diphtheria,2,0.387922795187978
75,Susceptible,214324.5,NGA,diphtheria,2,0.608744122371132
75,Vaccine and exposure protected,42.5,NGA,diphtheria,2,0.000120712401992181
75,Vaccine protected,1131,NGA,diphtheria,2,0.0032123700388978
76,Exposure protected,129363.5,NGA,diphtheria,2,0.407838445362918
76,Susceptible,187032.5,NGA,diphtheria,2,0.589648888846854
76,Vaccine and exposure protected,24.5,NGA,diphtheria,2,0.0000772400399756615
76,Vaccine protected,772.5,NGA,diphtheria,2,0.002435425750253
77,Exposure protected,121171,NGA,diphtheria,2,0.426824521512772
77,Susceptible,162195,NGA,diphtheria,2,0.571331451145604
77,Vaccine and exposure protected,17,NGA,diphtheria,2,0.0000598824542647756
77,Vaccine protected,506.5,NGA,diphtheria,2,0.00178414488735934
78,Exposure protected,112731.5,NGA,diphtheria,2,0.445399483212302
78,Susceptible,140011,NGA,diphtheria,2,0.553180140812795
78,Vaccine and exposure protected,12,NGA,diphtheria,2,0.000047411715434884
78,Vaccine protected,347.5,NGA,diphtheria,2,0.00137296425946851
79,Exposure protected,103701.5,NGA,diphtheria,2,0.465137610563898
79,Susceptible,119021.5,NGA,diphtheria,2,0.53385318549617
79,Vaccine and exposure protected,9,NGA,diphtheria,2,0.0000403681575972873
79,Vaccine protected,216,NGA,diphtheria,2,0.000968835782334894
80,Exposure protected,94125,NGA,diphtheria,2,0.483279678378337
80,Susceptible,100493.5,NGA,diphtheria,2,0.515978394253529
80,Vaccine and exposure protected,5,NGA,diphtheria,2,0.0000256722272710936
80,Vaccine protected,139.5,NGA,diphtheria,2,0.000716255140863511
81,Exposure protected,83867,NGA,diphtheria,2,0.499711018822506
81,Susceptible,83889,NGA,diphtheria,2,0.499842103067967
81,Vaccine and exposure protected,4,NGA,diphtheria,2,0.0000238334991747651
81,Vaccine protected,71,NGA,diphtheria,2,0.00042304461035208
82,Exposure protected,74339.5,NGA,diphtheria,2,0.517958668933419
82,Susceptible,69134,NGA,diphtheria,2,0.481689473537527
82,Vaccine and exposure protected,2.5,NGA,diphtheria,2,0.0000174186895571472
82,Vaccine protected,48,NGA,diphtheria,2,0.000334438839497227
83,Exposure protected,64856.5,NGA,diphtheria,2,0.534577120578951
83,Susceptible,56439.5,NGA,diphtheria,2,0.465200332995393
83,Vaccine and exposure protected,2,NGA,diphtheria,2,0.0000164849204190467
83,Vaccine protected,25,NGA,diphtheria,2,0.000206061505238083
84,Exposure protected,55681.5,NGA,diphtheria,2,0.549935309280896
84,Susceptible,45553.5,NGA,diphtheria,2,0.449906667588468
84,Vaccine and exposure protected,2,NGA,diphtheria,2,0.0000197528913294684
84,Vaccine protected,14,NGA,diphtheria,2,0.000138270239306278
85,Exposure protected,47275.5,NGA,diphtheria,2,0.563158897876041
85,Susceptible,36662.5,NGA,diphtheria,2,0.436733891622095
85,Vaccine and exposure protected,2,NGA,diphtheria,2,0.0000238245559698381
85,Vaccine protected,7,NGA,diphtheria,2,0.0000833859458944334
86,Exposure protected,39326.5,NGA,diphtheria,2,0.575386258559139
86,Susceptible,29019.5,NGA,diphtheria,2,0.424584479428806
86,Vaccine and exposure protected,0,NGA,diphtheria,2,0
86,Vaccine protected,2,NGA,diphtheria,2,0.000029262012055949
87,Exposure protected,32265.5,NGA,diphtheria,2,0.588351674401218
87,Susceptible,22573.5,NGA,diphtheria,2,0.411620973550569
87,Vaccine and exposure protected,0,NGA,diphtheria,2,0
87,Vaccine protected,1.5,NGA,diphtheria,2,0.0000273520482125437
88,Exposure protected,25791,NGA,diphtheria,2,0.597754163141854
88,Susceptible,17355.5,NGA,diphtheria,2,0.402245836858146
88,Vaccine and exposure protected,0,NGA,diphtheria,2,0
88,Vaccine protected,0,NGA,diphtheria,2,0
89,Exposure protected,20382,NGA,diphtheria,2,0.613444492934644
89,Susceptible,12842.5,NGA,diphtheria,2,0.386525409700381
89,Vaccine and exposure protected,0,NGA,diphtheria,2,0
89,Vaccine protected,1,NGA,diphtheria,2,0.0000300973649756964
90,Exposure protected,15710.5,NGA,diphtheria,2,0.621754788665506
90,Susceptible,9557.5,NGA,diphtheria,2,0.378245211334494
90,Vaccine and exposure protected,0,NGA,diphtheria,2,0
90,Vaccine protected,0,NGA,diphtheria,2,0
91,Exposure protected,11851.5,NGA,diphtheria,2,0.632248599626567
91,Susceptible,6893.5,NGA,diphtheria,2,0.367751400373433
91,Vaccine and exposure protected,0,NGA,diphtheria,2,0
91,Vaccine protected,0,NGA,diphtheria,2,0
92,Exposure protected,8916.5,NGA,diphtheria,2,0.645608572876693
92,Susceptible,4894.5,NGA,diphtheria,2,0.354391427123308
92,Vaccine and exposure protected,0,NGA,diphtheria,2,0
92,Vaccine protected,0,NGA,diphtheria,2,0
93,Exposure protected,6507,NGA,diphtheria,2,0.658469945355191
93,Susceptible,3374.5,NGA,diphtheria,2,0.341479457599676
93,Vaccine and exposure protected,0,NGA,diphtheria,2,0
93,Vaccine protected,0.5,NGA,diphtheria,2,0.0000505970451325643
94,Exposure protected,4672,NGA,diphtheria,2,0.671119729943259
94,Susceptible,2289,NGA,diphtheria,2,0.328808446455505
94,Vaccine and exposure protected,0,NGA,diphtheria,2,0
94,Vaccine protected,0.5,NGA,diphtheria,2,0.0000718236012353659
95,Exposure protected,3229.5,NGA,diphtheria,2,0.670159784187591
95,Susceptible,1589.5,NGA,diphtheria,2,0.329840215812409
95,Vaccine and exposure protected,0,NGA,diphtheria,2,0
95,Vaccine protected,0,NGA,diphtheria,2,0
96,Exposure protected,2251,NGA,diphtheria,2,0.68036874716639
96,Susceptible,1057.5,NGA,diphtheria,2,0.31963125283361
96,Vaccine and exposure protected,0,NGA,diphtheria,2,0
96,Vaccine protected,0,NGA,diphtheria,2,0
97,Exposure protected,1580,NGA,diphtheria,2,0.691163604549431
97,Susceptible,706,NGA,diphtheria,2,0.308836395450569
97,Vaccine and exposure protected,0,NGA,diphtheria,2,0
97,Vaccine protected,0,NGA,diphtheria,2,0
98,Exposure protected,1017,NGA,diphtheria,2,0.696575342465754
98,Susceptible,443,NGA,diphtheria,2,0.303424657534247
98,Vaccine and exposure protected,0,NGA,diphtheria,2,0
98,Vaccine protected,0,NGA,diphtheria,2,0
99,Exposure protected,648,NGA,diphtheria,2,0.684627575277338
99,Susceptible,298.5,NGA,diphtheria,2,0.315372424722662
99,Vaccine and exposure protected,0,NGA,diphtheria,2,0
99,Vaccine protected,0,NGA,diphtheria,2,0
100,Exposure protected,449,NGA,diphtheria,2,0.697746697746698
100,Susceptible,194.5,NGA,diphtheria,2,0.302253302253302
100,Vaccine and exposure protected,0,NGA,diphtheria,2,0
100,Vaccine protected,0,NGA,diphtheria,2,0
101,Exposure protected,684.5,NGA,diphtheria,2,0.703133025166923
101,Susceptible,289,NGA,diphtheria,2,0.296866974833077
101,Vaccine and exposure protected,0,NGA,diphtheria,2,0
101,Vaccine protected,0,NGA,diphtheria,2,0
1,Exposure protected,276,NGA,diphtheria,3,0.0000583616366125384
1,Susceptible,1423359,NGA,diphtheria,3,0.300976669301399
1,Vaccine and exposure protected,0,NGA,diphtheria,3,0
1,Vaccine protected,3305499,NGA,diphtheria,3,0.698964969061989
2,Exposure protected,416.5,NGA,diphtheria,3,0.0000604538801847639
2,Susceptible,2081568,NGA,diphtheria,3,0.302134123573682
2,Vaccine and exposure protected,0,NGA,diphtheria,3,0
2,Vaccine protected,4807565,NGA,diphtheria,3,0.697805422546133
3,Exposure protected,415.5,NGA,diphtheria,3,0.0000570828950795781
3,Susceptible,2227310.5,NGA,diphtheria,3,0.305995984551486
3,Vaccine and exposure protected,0,NGA,diphtheria,3,0
