dim1,dim2,dim3,dim4,value,iso,disease,R0
2,2,1,1,842638.5,NGA,diphtheria,2
3,2,1,1,1194406,NGA,diphtheria,2
4,2,1,1,1486360.5,NGA,diphtheria,2
5,2,1,1,1717889,NGA,diphtheria,2
6,2,1,1,1911835,NGA,diphtheria,2
7,2,1,1,2081158.5,NGA,diphtheria,2
8,2,1,1,2238427,NGA,diphtheria,2
9,2,1,1,2386991,NGA,diphtheria,2
10,2,1,1,2520567.5,NGA,diphtheria,2
11,2,1,1,2628157.5,NGA,diphtheria,2
12,2,1,1,2698900,NGA,diphtheria,2
13,2,1,1,2728619.5,NGA,diphtheria,2
14,2,1,1,2712904,NGA,diphtheria,2
15,2,1,1,2656470.5,NGA,diphtheria,2
16,2,1,1,2561732.5,NGA,diphtheria,2
17,2,1,1,2440194.5,NGA,diphtheria,2
18,2,1,1,2301053.5,NGA,diphtheria,2
19,2,1,1,2155712.5,NGA,diphtheria,2
20,2,1,1,2013749.5,NGA,diphtheria,2
21,2,1,1,1887202,NGA,diphtheria,2
22,2,1,1,1775830.5,NGA,diphtheria,2
23,2,1,1,1685913.5,NGA,diphtheria,2
24,2,1,1,1611139,NGA,diphtheria,2
25,2,1,1,1551100,NGA,diphtheria,2
26,2,1,1,1502831.5,NGA,diphtheria,2
27,2,1,1,1460296,NGA,diphtheria,2
28,2,1,1,1421988.5,NGA,diphtheria,2
29,2,1,1,1382007.5,NGA,diphtheria,2
30,2,1,1,1342682.5,NGA,diphtheria,2
31,2,1,1,1298284.5,NGA,diphtheria,2
32,2,1,1,1246638.5,NGA,diphtheria,2
33,2,1,1,1187937.5,NGA,diphtheria,2
34,2,1,1,1122319,NGA,diphtheria,2
35,2,1,1,1055566,NGA,diphtheria,2
36,2,1,1,983981,NGA,diphtheria,2
37,2,1,1,910058.5,NGA,diphtheria,2
38,2,1,1,838590.5,NGA,diphtheria,2
39,2,1,1,767535.5,NGA,diphtheria,2
40,2,1,1,697154.5,NGA,diphtheria,2
41,2,1,1,633942.5,NGA,diphtheria,2
42,2,1,1,574332,NGA,diphtheria,2
43,2,1,1,521102.5,NGA,diphtheria,2
44,2,1,1,472254.5,NGA,diphtheria,2
45,2,1,1,427005,NGA,diphtheria,2
46,2,1,1,385764,NGA,diphtheria,2
47,2,1,1,349302.5,NGA,diphtheria,2
48,2,1,1,316228,NGA,diphtheria,2
49,2,1,1,285334.5,NGA,diphtheria,2
50,2,1,1,258348.5,NGA,diphtheria,2
51,2,1,1,232382,NGA,diphtheria,2
52,2,1,1,207778.5,NGA,diphtheria,2
53,2,1,1,184878.5,NGA,diphtheria,2
54,2,1,1,163525,NGA,diphtheria,2
55,2,1,1,143186,NGA,diphtheria,2
56,2,1,1,124892,NGA,diphtheria,2
57,2,1,1,108298.5,NGA,diphtheria,2
58,2,1,1,92714,NGA,diphtheria,2
59,2,1,1,78195,NGA,diphtheria,2
60,2,1,1,65881.5,NGA,diphtheria,2
61,2,1,1,54667.5,NGA,diphtheria,2
62,2,1,1,44806,NGA,diphtheria,2
63,2,1,1,36204.5,NGA,diphtheria,2
64,2,1,1,29139,NGA,diphtheria,2
65,2,1,1,22942,NGA,diphtheria,2
66,2,1,1,17997,NGA,diphtheria,2
67,2,1,1,13731.5,NGA,diphtheria,2
68,2,1,1,10345.5,NGA,diphtheria,2
69,2,1,1,7884,NGA,diphtheria,2
70,2,1,1,5963.5,NGA,diphtheria,2
71,2,1,1,4327.5,NGA,diphtheria,2
72,2,1,1,3073.5,NGA,diphtheria,2
73,2,1,1,2250,NGA,diphtheria,2
74,2,1,1,1615,NGA,diphtheria,2
75,2,1,1,1118,NGA,diphtheria,2
76,2,1,1,767.5,NGA,diphtheria,2
77,2,1,1,503.5,NGA,diphtheria,2
78,2,1,1,345,NGA,diphtheria,2
79,2,1,1,213.5,NGA,diphtheria,2
80,2,1,1,139.5,NGA,diphtheria,2
81,2,1,1,71,NGA,diphtheria,2
82,2,1,1,48,NGA,diphtheria,2
83,2,1,1,25,NGA,diphtheria,2
84,2,1,1,14,NGA,diphtheria,2
85,2,1,1,7,NGA,diphtheria,2
86,2,1,1,2,NGA,diphtheria,2
87,2,1,1,1.5,NGA,diphtheria,2
88,2,1,1,0,NGA,diphtheria,2
89,2,1,1,1,NGA,diphtheria,2
90,2,1,1,0,NGA,diphtheria,2
91,2,1,1,0,NGA,diphtheria,2
92,2,1,1,0,NGA,diphtheria,2
93,2,1,1,0.5,NGA,diphtheria,2
94,2,1,1,0.5,NGA,diphtheria,2
95,2,1,1,0,NGA,diphtheria,2
96,2,1,1,0,NGA,diphtheria,2
97,2,1,1,0,NGA,diphtheria,2
98,2,1,1,0,NGA,diphtheria,2
99,2,1,1,0,NGA,diphtheria,2
100,2,1,1,0,NGA,diphtheria,2
101,2,1,1,0,NGA,diphtheria,2
1,3,1,1,2886705,NGA,diphtheria,2
2,3,1,1,3954030,NGA,diphtheria,2
3,3,1,1,3845647,NGA,diphtheria,2
4,3,1,1,3461948.5,NGA,diphtheria,2
5,3,1,1,3088368,NGA,diphtheria,2
6,3,1,1,2735118.5,NGA,diphtheria,2
7,3,1,1,2425586,NGA,diphtheria,2
8,3,1,1,2164149.5,NGA,diphtheria,2
9,3,1,1,1943587,NGA,diphtheria,2
10,3,1,1,1760480.5,NGA,diphtheria,2
11,3,1,1,1600532.5,NGA,diphtheria,2
12,3,1,1,1454047.5,NGA,diphtheria,2
13,3,1,1,1314477,NGA,diphtheria,2
14,3,1,1,1178572,NGA,diphtheria,2
15,3,1,1,1045041.5,NGA,diphtheria,2
16,3,1,1,920134.5,NGA,diphtheria,2
17,3,1,1,798710,NGA,diphtheria,2
18,3,1,1,688054.5,NGA,diphtheria,2
19,3,1,1,586775.5,NGA,diphtheria,2
20,3,1,1,497106.5,NGA,diphtheria,2
21,3,1,1,421335,NGA,diphtheria,2
22,3,1,1,356902.5,NGA,diphtheria,2
23,3,1,1,302399,NGA,diphtheria,2
24,3,1,1,258350,NGA,diphtheria,2
25,3,1,1,222916.5,NGA,diphtheria,2
26,3,1,1,193876,NGA,diphtheria,2
27,3,1,1,170560,NGA,diphtheria,2
28,3,1,1,150995.5,NGA,diphtheria,2
29,3,1,1,134367,NGA,diphtheria,2
30,3,1,1,120153.5,NGA,diphtheria,2
31,3,1,1,107560,NGA,diphtheria,2
32,3,1,1,96185.5,NGA,diphtheria,2
33,3,1,1,85309.5,NGA,diphtheria,2
34,3,1,1,75123,NGA,diphtheria,2
35,3,1,1,65837,NGA,diphtheria,2
36,3,1,1,57623.5,NGA,diphtheria,2
37,3,1,1,50182.5,NGA,diphtheria,2
38,3,1,1,43265.5,NGA,diphtheria,2
39,3,1,1,37115,NGA,diphtheria,2
40,3,1,1,31381.5,NGA,diphtheria,2
41,3,1,1,26521.5,NGA,diphtheria,2
42,3,1,1,22582.5,NGA,diphtheria,2
43,3,1,1,18910,NGA,diphtheria,2
44,3,1,1,16015,NGA,diphtheria,2
45,3,1,1,13384,NGA,diphtheria,2
46,3,1,1,11187.5,NGA,diphtheria,2
47,3,1,1,9361,NGA,diphtheria,2
48,3,1,1,7834,NGA,diphtheria,2
49,3,1,1,6473,NGA,diphtheria,2
50,3,1,1,5312,NGA,diphtheria,2
51,3,1,1,4537,NGA,diphtheria,2
52,3,1,1,3754.5,NGA,diphtheria,2
53,3,1,1,3106,NGA,diphtheria,2
54,3,1,1,2628.5,NGA,diphtheria,2
55,3,1,1,2151,NGA,diphtheria,2
56,3,1,1,1806.5,NGA,diphtheria,2
57,3,1,1,1461.5,NGA,diphtheria,2
58,3,1,1,1197,NGA,diphtheria,2
59,3,1,1,992,NGA,diphtheria,2
60,3,1,1,814,NGA,diphtheria,2
61,3,1,1,668,NGA,diphtheria,2
62,3,1,1,524,NGA,diphtheria,2
63,3,1,1,410,NGA,diphtheria,2
64,3,1,1,325,NGA,diphtheria,2
65,3,1,1,240.5,NGA,diphtheria,2
66,3,1,1,188,NGA,diphtheria,2
67,3,1,1,138,NGA,diphtheria,2
68,3,1,1,110,NGA,diphtheria,2
69,3,1,1,76,NGA,diphtheria,2
70,3,1,1,57.5,NGA,diphtheria,2
71,3,1,1,41,NGA,diphtheria,2
72,3,1,1,35,NGA,diphtheria,2
73,3,1,1,25.5,NGA,diphtheria,2
74,3,1,1,19,NGA,diphtheria,2
75,3,1,1,13,NGA,diphtheria,2
76,3,1,1,5,NGA,diphtheria,2
77,3,1,1,3,NGA,diphtheria,2
78,3,1,1,2.5,NGA,diphtheria,2
79,3,1,1,2.5,NGA,diphtheria,2
80,3,1,1,0,NGA,diphtheria,2
81,3,1,1,0,NGA,diphtheria,2
82,3,1,1,0,NGA,diphtheria,2
83,3,1,1,0,NGA,diphtheria,2
84,3,1,1,0,NGA,diphtheria,2
85,3,1,1,0,NGA,diphtheria,2
86,3,1,1,0,NGA,diphtheria,2
87,3,1,1,0,NGA,diphtheria,2
88,3,1,1,0,NGA,diphtheria,2
89,3,1,1,0,NGA,diphtheria,2
90,3,1,1,0,NGA,diphtheria,2
91,3,1,1,0,NGA,diphtheria,2
92,3,1,1,0,NGA,diphtheria,2
93,3,1,1,0,NGA,diphtheria,2
94,3,1,1,0,NGA,diphtheria,2
95,3,1,1,0,NGA,diphtheria,2
96,3,1,1,0,NGA,diphtheria,2
97,3,1,1,0,NGA,diphtheria,2
98,3,1,1,0,NGA,diphtheria,2
99,3,1,1,0,NGA,diphtheria,2
100,3,1,1,0,NGA,diphtheria,2
101,3,1,1,0,NGA,diphtheria,2
1,4,1,1,0,NGA,diphtheria,2
2,4,1,1,0,NGA,diphtheria,2
3,4,1,1,0,NGA,diphtheria,2
4,4,1,1,0,NGA,diphtheria,2
5,4,1,1,0,NGA,diphtheria,2
6,4,1,1,0,NGA,diphtheria,2
7,4,1,1,0,NGA,diphtheria,2
8,4,1,1,0,NGA,diphtheria,2
9,4,1,1,0,NGA,diphtheria,2
10,4,1,1,0,NGA,diphtheria,2
11,4,1,1,0,NGA,diphtheria,2
12,4,1,1,0,NGA,diphtheria,2
13,4,1,1,0,NGA,diphtheria,2
14,4,1,1,0,NGA,diphtheria,2
15,4,1,1,0,NGA,diphtheria,2
16,4,1,1,0,NGA,diphtheria,2
17,4,1,1,0,NGA,diphtheria,2
18,4,1,1,0,NGA,diphtheria,2
19,4,1,1,0,NGA,diphtheria,2
20,4,1,1,0,NGA,diphtheria,2
21,4,1,1,0,NGA,diphtheria,2
22,4,1,1,0,NGA,diphtheria,2
23,4,1,1,0,NGA,diphtheria,2
24,4,1,1,0,NGA,diphtheria,2
25,4,1,1,0,NGA,diphtheria,2
26,4,1,1,0,NGA,diphtheria,2
27,4,1,1,0,NGA,diphtheria,2
28,4,1,1,0,NGA,diphtheria,2
29,4,1,1,0,NGA,diphtheria,2
30,4,1,1,0,NGA,diphtheria,2
31,4,1,1,0,NGA,diphtheria,2
32,4,1,1,0,NGA,diphtheria,2
33,4,1,1,0,NGA,diphtheria,2
34,4,1,1,0,NGA,diphtheria,2
35,4,1,1,0,NGA,diphtheria,2
36,4,1,1,0,NGA,diphtheria,2
37,4,1,1,0,NGA,diphtheria,2
38,4,1,1,0,NGA,diphtheria,2
39,4,1,1,0,NGA,diphtheria,2
40,4,1,1,0,NGA,diphtheria,2
41,4,1,1,0,NGA,diphtheria,2
42,4,1,1,0,NGA,diphtheria,2
43,4,1,1,0,NGA,diphtheria,2
44,4,1,1,0,NGA,diphtheria,2
45,4,1,1,0,NGA,diphtheria,2
46,4,1,1,0,NGA,diphtheria,2
47,4,1,1,0,NGA,diphtheria,2
48,4,1,1,0,NGA,diphtheria,2
49,4,1,1,0,NGA,diphtheria,2
50,4,1,1,0,NGA,diphtheria,2
51,4,1,1,0,NGA,diphtheria,2
52,4,1,1,0,NGA,diphtheria,2
53,4,1,1,0,NGA,diphtheria,2
54,4,1,1,0,NGA,diphtheria,2
55,4,1,1,0,NGA,diphtheria,2
56,4,1,1,0,NGA,diphtheria,2
57,4,1,1,0,NGA,diphtheria,2
58,4,1,1,0,NGA,diphtheria,2
59,4,1,1,0,NGA,diphtheria,2
60,4,1,1,0,NGA,diphtheria,2
61,4,1,1,0,NGA,diphtheria,2
62,4,1,1,0,NGA,diphtheria,2
63,4,1,1,0,NGA,diphtheria,2
64,4,1,1,0,NGA,diphtheria,2
65,4,1,1,0,NGA,diphtheria,2
66,4,1,1,0,NGA,diphtheria,2
67,4,1,1,0,NGA,diphtheria,2
68,4,1,1,0,NGA,diphtheria,2
69,4,1,1,0,NGA,diphtheria,2
70,4,1,1,0,NGA,diphtheria,2
71,4,1,1,0,NGA,diphtheria,2
72,4,1,1,0,NGA,diphtheria,2
73,4,1,1,0,NGA,diphtheria,2
74,4,1,1,0,NGA,diphtheria,2
75,4,1,1,0,NGA,diphtheria,2
76,4,1,1,0,NGA,diphtheria,2
77,4,1,1,0,NGA,diphtheria,2
78,4,1,1,0,NGA,diphtheria,2
79,4,1,1,0,NGA,diphtheria,2
80,4,1,1,0,NGA,diphtheria,2
81,4,1,1,0,NGA,diphtheria,2
82,4,1,1,0,NGA,diphtheria,2
83,4,1,1,0,NGA,diphtheria,2
84,4,1,1,0,NGA,diphtheria,2
85,4,1,1,0,NGA,diphtheria,2
86,4,1,1,0,NGA,diphtheria,2
87,4,1,1,0,NGA,diphtheria,2
88,4,1,1,0,NGA,diphtheria,2
89,4,1,1,0,NGA,diphtheria,2
90,4,1,1,0,NGA,diphtheria,2
91,4,1,1,0,NGA,diphtheria,2
92,4,1,1,0,NGA,diphtheria,2
93,4,1,1,0,NGA,diphtheria,2
94,4,1,1,0,NGA,diphtheria,2
95,4,1,1,0,NGA,diphtheria,2
96,4,1,1,0,NGA,diphtheria,2
97,4,1,1,0,NGA,diphtheria,2
98,4,1,1,0,NGA,diphtheria,2
99,4,1,1,0,NGA,diphtheria,2
100,4,1,1,0,NGA,diphtheria,2
101,4,1,1,0,NGA,diphtheria,2
1,5,1,1,0,NGA,diphtheria,2
2,5,1,1,0,NGA,diphtheria,2
3,5,1,1,0,NGA,diphtheria,2
4,5,1,1,0,NGA,diphtheria,2
5,5,1,1,0,NGA,diphtheria,2
6,5,1,1,0,NGA,diphtheria,2
7,5,1,1,0,NGA,diphtheria,2
8,5,1,1,0,NGA,diphtheria,2
9,5,1,1,0,NGA,diphtheria,2
10,5,1,1,0,NGA,diphtheria,2
11,5,1,1,0,NGA,diphtheria,2
12,5,1,1,0,NGA,diphtheria,2
13,5,1,1,0,NGA,diphtheria,2
14,5,1,1,0,NGA,diphtheria,2
15,5,1,1,0,NGA,diphtheria,2
16,5,1,1,0,NGA,diphtheria,2
17,5,1,1,0,NGA,diphtheria,2
18,5,1,1,0,NGA,diphtheria,2
19,5,1,1,0,NGA,diphtheria,2
20,5,1,1,0,NGA,diphtheria,2
21,5,1,1,0,NGA,diphtheria,2
22,5,1,1,0,NGA,diphtheria,2
23,5,1,1,0,NGA,diphtheria,2
24,5,1,1,0,NGA,diphtheria,2
25,5,1,1,0,NGA,diphtheria,2
26,5,1,1,0,NGA,diphtheria,2
27,5,1,1,0,NGA,diphtheria,2
28,5,1,1,0,NGA,diphtheria,2
29,5,1,1,0,NGA,diphtheria,2
30,5,1,1,0,NGA,diphtheria,2
31,5,1,1,0,NGA,diphtheria,2
32,5,1,1,0,NGA,diphtheria,2
33,5,1,1,0,NGA,diphtheria,2
34,5,1,1,0,NGA,diphtheria,2
35,5,1,1,0,NGA,diphtheria,2
36,5,1,1,0,NGA,diphtheria,2
37,5,1,1,0,NGA,diphtheria,2
38,5,1,1,0,NGA,diphtheria,2
39,5,1,1,0,NGA,diphtheria,2
40,5,1,1,0,NGA,diphtheria,2
41,5,1,1,0,NGA,diphtheria,2
42,5,1,1,0,NGA,diphtheria,2
43,5,1,1,0,NGA,diphtheria,2
44,5,1,1,0,NGA,diphtheria,2
45,5,1,1,0,NGA,diphtheria,2
46,5,1,1,0,NGA,diphtheria,2
47,5,1,1,0,NGA,diphtheria,2
48,5,1,1,0,NGA,diphtheria,2
49,5,1,1,0,NGA,diphtheria,2
50,5,1,1,0,NGA,diphtheria,2
51,5,1,1,0,NGA,diphtheria,2
52,5,1,1,0,NGA,diphtheria,2
53,5,1,1,0,NGA,diphtheria,2
54,5,1,1,0,NGA,diphtheria,2
55,5,1,1,0,NGA,diphtheria,2
56,5,1,1,0,NGA,diphtheria,2
57,5,1,1,0,NGA,diphtheria,2
58,5,1,1,0,NGA,diphtheria,2
59,5,1,1,0,NGA,diphtheria,2
60,5,1,1,0,NGA,diphtheria,2
61,5,1,1,0,NGA,diphtheria,2
62,5,1,1,0,NGA,diphtheria,2
63,5,1,1,0,NGA,diphtheria,2
64,5,1,1,0,NGA,diphtheria,2
65,5,1,1,0,NGA,diphtheria,2
66,5,1,1,0,NGA,diphtheria,2
67,5,1,1,0,NGA,diphtheria,2
68,5,1,1,0,NGA,diphtheria,2
69,5,1,1,0,NGA,diphtheria,2
70,5,1,1,0,NGA,diphtheria,2
71,5,1,1,0,NGA,diphtheria,2
72,5,1,1,0,NGA,diphtheria,2
73,5,1,1,0,NGA,diphtheria,2
74,5,1,1,0,NGA,diphtheria,2
75,5,1,1,0,NGA,diphtheria,2
76,5,1,1,0,NGA,diphtheria,2
77,5,1,1,0,NGA,diphtheria,2
78,5,1,1,0,NGA,diphtheria,2
79,5,1,1,0,NGA,diphtheria,2
80,5,1,1,0,NGA,diphtheria,2
81,5,1,1,0,NGA,diphtheria,2
82,5,1,1,0,NGA,diphtheria,2
83,5,1,1,0,NGA,diphtheria,2
84,5,1,1,0,NGA,diphtheria,2
85,5,1,1,0,NGA,diphtheria,2
86,5,1,1,0,NGA,diphtheria,2
87,5,1,1,0,NGA,diphtheria,2
88,5,1,1,0,NGA,diphtheria,2
89,5,1,1,0,NGA,diphtheria,2
90,5,1,1,0,NGA,diphtheria,2
91,5,1,1,0,NGA,diphtheria,2
92,5,1,1,0,NGA,diphtheria,2
93,5,1,1,0,NGA,diphtheria,2
94,5,1,1,0,NGA,diphtheria,2
95,5,1,1,0,NGA,diphtheria,2
96,5,1,1,0,NGA,diphtheria,2
97,5,1,1,0,NGA,diphtheria,2
98,5,1,1,0,NGA,diphtheria,2
99,5,1,1,0,NGA,diphtheria,2
100,5,1,1,0,NGA,diphtheria,2
101,5,1,1,0,NGA,diphtheria,2
1,6,1,1,0,NGA,diphtheria,2
2,6,1,1,0,NGA,diphtheria,2
3,6,1,1,0,NGA,diphtheria,2
4,6,1,1,0,NGA,diphtheria,2
5,6,1,1,0,NGA,diphtheria,2
6,6,1,1,0,NGA,diphtheria,2
7,6,1,1,0,NGA,diphtheria,2
8,6,1,1,0,NGA,diphtheria,2
9,6,1,1,0,NGA,diphtheria,2
10,6,1,1,0,NGA,diphtheria,2
11,6,1,1,0,NGA,diphtheria,2
12,6,1,1,0,NGA,diphtheria,2
13,6,1,1,0,NGA,diphtheria,2
14,6,1,1,0,NGA,diphtheria,2
15,6,1,1,0,NGA,diphtheria,2
16,6,1,1,0,NGA,diphtheria,2
17,6,1,1,0,NGA,diphtheria,2
18,6,1,1,0,NGA,diphtheria,2
19,6,1,1,0,NGA,diphtheria,2
20,6,1,1,0,NGA,diphtheria,2
21,6,1,1,0,NGA,diphtheria,2
22,6,1,1,0,NGA,diphtheria,2
23,6,1,1,0,NGA,diphtheria,2
24,6,1,1,0,NGA,diphtheria,2
25,6,1,1,0,NGA,diphtheria,2
26,6,1,1,0,NGA,diphtheria,2
27,6,1,1,0,NGA,diphtheria,2
28,6,1,1,0,NGA,diphtheria,2
29,6,1,1,0,NGA,diphtheria,2
30,6,1,1,0,NGA,diphtheria,2
31,6,1,1,0,NGA,diphtheria,2
32,6,1,1,0,NGA,diphtheria,2
33,6,1,1,0,NGA,diphtheria,2
34,6,1,1,0,NGA,diphtheria,2
35,6,1,1,0,NGA,diphtheria,2
36,6,1,1,0,NGA,diphtheria,2
37,6,1,1,0,NGA,diphtheria,2
38,6,1,1,0,NGA,diphtheria,2
39,6,1,1,0,NGA,diphtheria,2
40,6,1,1,0,NGA,diphtheria,2
41,6,1,1,0,NGA,diphtheria,2
42,6,1,1,0,NGA,diphtheria,2
43,6,1,1,0,NGA,diphtheria,2
44,6,1,1,0,NGA,diphtheria,2
45,6,1,1,0,NGA,diphtheria,2
46,6,1,1,0,NGA,diphtheria,2
47,6,1,1,0,NGA,diphtheria,2
48,6,1,1,0,NGA,diphtheria,2
49,6,1,1,0,NGA,diphtheria,2
50,6,1,1,0,NGA,diphtheria,2
51,6,1,1,0,NGA,diphtheria,2
52,6,1,1,0,NGA,diphtheria,2
53,6,1,1,0,NGA,diphtheria,2
54,6,1,1,0,NGA,diphtheria,2
55,6,1,1,0,NGA,diphtheria,2
56,6,1,1,0,NGA,diphtheria,2
57,6,1,1,0,NGA,diphtheria,2
58,6,1,1,0,NGA,diphtheria,2
59,6,1,1,0,NGA,diphtheria,2
60,6,1,1,0,NGA,diphtheria,2
61,6,1,1,0,NGA,diphtheria,2
62,6,1,1,0,NGA,diphtheria,2
63,6,1,1,0,NGA,diphtheria,2
64,6,1,1,0,NGA,diphtheria,2
65,6,1,1,0,NGA,diphtheria,2
66,6,1,1,0,NGA,diphtheria,2
67,6,1,1,0,NGA,diphtheria,2
68,6,1,1,0,NGA,diphtheria,2
69,6,1,1,0,NGA,diphtheria,2
70,6,1,1,0,NGA,diphtheria,2
71,6,1,1,0,NGA,diphtheria,2
72,6,1,1,0,NGA,diphtheria,2
73,6,1,1,0,NGA,diphtheria,2
74,6,1,1,0,NGA,diphtheria,2
75,6,1,1,0,NGA,diphtheria,2
76,6,1,1,0,NGA,diphtheria,2
77,6,1,1,0,NGA,diphtheria,2
78,6,1,1,0,NGA,diphtheria,2
79,6,1,1,0,NGA,diphtheria,2
80,6,1,1,0,NGA,diphtheria,2
81,6,1,1,0,NGA,diphtheria,2
82,6,1,1,0,NGA,diphtheria,2
83,6,1,1,0,NGA,diphtheria,2
84,6,1,1,0,NGA,diphtheria,2
85,6,1,1,0,NGA,diphtheria,2
86,6,1,1,0,NGA,diphtheria,2
87,6,1,1,0,NGA,diphtheria,2
88,6,1,1,0,NGA,diphtheria,2
89,6,1,1,0,NGA,diphtheria,2
90,6,1,1,0,NGA,diphtheria,2
91,6,1,1,0,NGA,diphtheria,2
92,6,1,1,0,NGA,diphtheria,2
93,6,1,1,0,NGA,diphtheria,2
94,6,1,1,0,NGA,diphtheria,2
95,6,1,1,0,NGA,diphtheria,2
96,6,1,1,0,NGA,diphtheria,2
97,6,1,1,0,NGA,diphtheria,2
98,6,1,1,0,NGA,diphtheria,2
99,6,1,1,0,NGA,diphtheria,2
100,6,1,1,0,NGA,diphtheria,2
101,6,1,1,0,NGA,diphtheria,2
